Refactoring Type	Source Method	Target Class
Move Method	org.gjt.sp.jedit.Macros::loadMacros():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.Macros::recordTemporaryMacro(org.gjt.sp.jedit.View):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.Macros::recordMacro(org.gjt.sp.jedit.View):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.Macros::stopRecording(org.gjt.sp.jedit.View):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.Macros::runTemporaryMacro(org.gjt.sp.jedit.View):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.Macros.Handler::accept(java.lang.String):boolean 	 gnu.regexp.RE
Move Method	org.gjt.sp.jedit.MiscUtilities::canonPath(java.lang.String):java.lang.String 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.MiscUtilities::resolveSymlinks(java.lang.String):java.lang.String 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.MiscUtilities::isAbsolutePath(java.lang.String):boolean 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.MiscUtilities::constructPath(java.lang.String, java.lang.String):java.lang.String 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.MiscUtilities::getEncodings():java.lang.String[] 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.MiscUtilities::isSupportedEncoding(java.lang.String):boolean 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.Mode::accept(java.lang.String, java.lang.String):boolean 	 gnu.regexp.RE
Move Method	org.gjt.sp.jedit.options.ToolBarOptionPane::updateButtons():void 	 org.gjt.sp.jedit.gui.RolloverButton
Move Method	org.gjt.sp.jedit.PerspectiveManager::loadPerspective(boolean):org.gjt.sp.jedit.View 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.PerspectiveManager::savePerspective(boolean):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.pluginmgr.PluginList.Dependency::isSatisfied():boolean 	 org.gjt.sp.jedit.pluginmgr.PluginList.Plugin
Move Method	org.gjt.sp.jedit.print.BufferPrinter1_4::getPrintJob(java.lang.String):java.awt.print.PrinterJob 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.print.BufferPrinter1_4::savePrintSpec():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.Registers::saveRegisters():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.Registers::loadRegisters():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::getSmartCaseReplace():boolean 	 org.gjt.sp.jedit.TextUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::hyperSearch(org.gjt.sp.jedit.View, boolean):boolean 	 org.gjt.sp.jedit.io.VFSManager
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::find(org.gjt.sp.jedit.View):boolean 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::replaceAll(org.gjt.sp.jedit.View):boolean 	 org.gjt.sp.jedit.TextUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::record(org.gjt.sp.jedit.View, java.lang.String, boolean, boolean):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::replaceOne(org.gjt.sp.jedit.Buffer, org.gjt.sp.jedit.search.SearchMatcher.Match, int, java.lang.String, boolean):int 	 org.gjt.sp.jedit.TextUtilities
Move Method	org.gjt.sp.jedit.search.SearchDialog::showSearchDialog(org.gjt.sp.jedit.View, java.lang.String, int):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.ServiceManager::getService(java.lang.String, java.lang.String):java.lang.Object 	 org.gjt.sp.jedit.ServiceManager.Descriptor
Move Method	org.gjt.sp.jedit.syntax.DisplayTokenHandler::merge(org.gjt.sp.jedit.syntax.Chunk, javax.swing.text.Segment):org.gjt.sp.jedit.syntax.Chunk 	 org.gjt.sp.jedit.syntax.Token
Move Method	org.gjt.sp.jedit.syntax.DisplayTokenHandler::canMerge(org.gjt.sp.jedit.syntax.Chunk, org.gjt.sp.jedit.syntax.Chunk, javax.swing.text.Segment):boolean 	 org.gjt.sp.jedit.syntax.Token
Move Method	org.gjt.sp.jedit.textarea.DisplayManager::_notifyScreenLineChanges():void 	 org.gjt.sp.jedit.textarea.DisplayManager.FirstLine
Move Method	org.gjt.sp.jedit.textarea.JEditTextArea::getRectParams(int, int):org.gjt.sp.jedit.textarea.JEditTextArea.RectParams 	 org.gjt.sp.jedit.textarea.Selection
Move Method	org.gjt.sp.jedit.TextUtilities::getTokenAtOffset(org.gjt.sp.jedit.syntax.Token, int):org.gjt.sp.jedit.syntax.Token 	 org.gjt.sp.jedit.syntax.Token
Move Method	org.gjt.sp.jedit.TextUtilities::spacesToTabs(java.lang.String, int):java.lang.String 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.TextUtilities::formatParagraph(java.lang.String, int, int, java.lang.StringBuffer):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.View::nextTextArea():void 	 org.gjt.sp.jedit.EditPane
Move Method	org.gjt.sp.jedit.View::loadToolBars():void 	 org.gjt.sp.jedit.gui.ToolBarManager
Move Method	org.gjt.sp.jedit.View::updateGutterBorders():void 	 org.gjt.sp.jedit.EditPane
Move Method	org.objectweb.asm.ClassWriter::toByteArray():byte[] 	 org.objectweb.asm.CodeWriter
